ID,Dt_Customer,Age_Group,Age,Education,Marital_Status,Income_Group,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Children,campaignAccept
1331,2013-01-02,Adult,37,Graduate,Single,Low,35790.0,54,2,2,0,3,7,0,0,0,0,0,0,0,12,6,20,30,1,3,1,Never Accepted
2225,2014-06-07,Adult,37,Graduate,Single,Highest,82582.0,54,1,4,9,7,1,1,0,1,0,0,0,1,510,120,550,156,40,241,0,Accepted once or more
9381,2013-06-12,Adult,36,Graduate,Together,High,66373.0,57,7,4,2,10,3,0,0,0,0,0,0,0,328,9,124,12,24,109,2,Never Accepted
6260,2012-11-19,Adult,59,Postgraduate,Together,Highest,82384.0,55,1,3,10,13,1,0,0,0,0,1,0,1,984,51,432,180,120,190,0,Accepted once or more
10383,2013-04-02,Adult,48,Graduate,Single,Highest,70287.0,30,1,5,5,10,3,0,0,0,0,0,0,1,295,35,482,121,120,40,0,Accepted once or more
7437,2014-04-28,Adult,26,Graduate,Single,Lowest,27938.0,31,1,1,0,4,3,0,0,0,0,0,0,0,13,0,8,2,1,5,1,Never Accepted
8557,2013-06-17,Adult,32,Graduate,Single,Low,49973.5,57,2,2,0,3,6,0,0,0,0,0,0,0,11,3,22,2,2,6,1,Never Accepted
8375,2014-03-03,Adult,46,Postgraduate,Together,High,55954.0,63,3,8,2,6,7,0,0,0,0,0,0,0,447,0,28,0,0,43,1,Never Accepted
6853,2013-07-04,Adult,32,Postgraduate,Single,Highest,75777.0,12,1,3,6,11,1,0,0,0,1,1,0,1,712,26,538,69,13,80,0,Accepted once or more
3076,2012-09-07,Adult,39,Graduate,Together,High,66653.0,18,4,4,2,12,3,0,0,0,0,0,0,0,452,18,102,16,18,6,2,Never Accepted
1012,2013-02-18,Adult,62,Graduate,Single,High,61823.0,26,4,8,2,10,7,0,0,0,0,0,0,0,523,7,134,37,14,169,1,Never Accepted
6518,2013-06-11,Adult,63,Postgraduate,Single,High,67680.0,8,1,7,3,8,5,0,0,0,0,0,0,0,546,0,48,0,6,6,1,Never Accepted
4137,2013-12-06,Elder,66,Graduate,Together,Highest,70666.0,29,1,7,4,4,4,0,0,0,0,0,0,0,398,40,367,119,122,30,0,Never Accepted
8082,2013-05-21,Adult,43,Graduate,Together,Lowest,25721.0,75,1,1,1,2,7,0,0,0,0,0,0,1,1,3,6,3,6,15,1,Accepted once or more
1386,2014-05-11,Adult,47,Graduate,Together,Lowest,32474.0,0,1,1,0,2,7,0,0,0,0,0,0,0,10,0,1,0,0,0,2,Never Accepted
9369,2014-03-19,Adult,35,Postgraduate,Single,Highest,88194.0,19,1,11,10,10,5,1,0,1,0,0,0,1,688,14,309,201,24,38,1,Accepted once or more
4477,2013-09-27,Adult,56,Graduate,Together,Highest,69096.0,4,1,5,2,10,4,0,0,0,0,0,0,0,247,49,159,7,82,109,1,Never Accepted
1357,2013-04-08,Adult,44,Graduate,Together,Highest,74854.0,90,7,2,5,5,5,0,0,0,0,0,0,0,856,59,487,58,29,73,3,Never Accepted
1402,2012-09-11,Adult,60,Postgraduate,Together,High,66991.0,1,3,4,8,6,3,0,0,0,0,0,0,0,496,36,460,189,60,12,0,Never Accepted
10629,2012-09-14,Adult,41,Postgraduate,Together,Low,46462.5,25,3,3,0,3,8,0,0,0,0,0,0,0,25,3,43,17,4,17,1,Never Accepted
6312,2013-03-17,Adult,55,Graduate,Together,High,65031.0,29,4,10,3,13,7,0,0,0,0,0,0,0,258,107,291,84,37,86,1,Never Accepted
8132,2013-04-05,Adult,39,Postgraduate,Together,High,60631.0,88,5,9,2,8,7,0,0,0,1,0,0,0,565,6,65,0,6,19,2,Accepted once or more
1050,2014-04-30,Adult,62,Graduate,Together,Lowest,28332.0,58,1,2,1,4,2,0,0,0,0,0,0,0,14,10,13,4,15,9,0,Never Accepted
5846,2012-12-19,Adult,37,Graduate,Single,Low,40246.0,68,1,1,0,2,6,0,0,0,0,0,0,0,2,1,6,2,1,1,1,Never Accepted
1859,2012-08-27,Adult,42,Postgraduate,Together,Highest,75251.0,34,1,7,6,5,5,0,0,0,0,0,0,1,721,111,925,97,18,18,0,Accepted once or more
7503,2012-10-12,Adult,38,Graduate,Single,Highest,75825.0,40,0,5,8,9,4,0,0,1,0,0,0,1,1032,105,779,137,105,51,0,Accepted once or more
10401,2013-09-04,Adult,38,Postgraduate,Together,Lowest,26326.0,12,1,0,0,3,3,0,0,0,0,0,1,0,1,0,5,0,3,9,0,Never Accepted
1618,2013-01-02,Adult,49,Graduate,Together,High,56046.0,9,2,10,1,8,8,0,0,1,0,0,0,1,577,0,64,0,0,51,0,Accepted once or more
3332,2012-08-29,Adult,29,Graduate,Single,Lowest,29760.0,87,4,3,1,4,8,0,0,0,0,0,0,0,64,4,68,7,5,17,1,Never Accepted
2261,2013-06-23,Adult,45,Graduate,Together,Lowest,26304.0,5,1,1,0,2,7,0,0,0,0,0,0,0,4,1,5,2,0,4,1,Never Accepted
5346,2013-07-03,Adult,41,Postgraduate,Together,Lowest,23559.0,87,3,3,0,3,7,0,0,0,0,0,0,0,25,5,19,7,0,23,1,Never Accepted
535,2014-02-25,Adult,27,Graduate,Single,Highest,81361.0,18,1,3,10,13,1,0,0,0,0,0,0,0,163,23,424,27,65,76,0,Never Accepted
5268,2013-08-11,Adult,54,Graduate,Together,Lowest,29440.0,95,2,1,0,4,7,0,0,0,0,0,0,0,17,8,14,10,4,3,2,Never Accepted
273,2013-07-16,Adult,44,Postgraduate,Together,Low,36138.0,48,5,3,1,4,7,0,0,0,1,0,0,0,130,0,16,0,0,5,2,Accepted once or more
4452,2014-05-28,Adult,57,Graduate,Single,Low,50388.0,3,4,6,1,6,7,1,0,0,1,0,0,1,292,6,37,0,3,34,1,Accepted once or more
8504,2014-05-12,Adult,41,Graduate,Together,Highest,79593.0,70,1,5,6,7,2,0,0,0,0,1,0,0,350,60,568,110,133,145,0,Accepted once or more
771,2014-01-21,Adult,47,Graduate,Together,High,54178.0,79,1,2,2,5,2,0,0,0,0,0,0,0,135,9,39,4,0,7,1,Never Accepted
8996,2012-11-19,Adult,57,Postgraduate,Together,High,57091.0,4,12,7,2,8,9,0,0,0,0,0,0,0,230,42,192,49,37,53,3,Never Accepted
9235,2014-05-27,Adult,57,Graduate,Single,Low,49973.5,45,1,1,0,2,7,0,0,0,0,0,0,0,7,0,8,2,0,1,2,Never Accepted
5798,2013-11-23,Adult,41,Postgraduate,Together,Low,49736.0,87,1,2,4,8,1,0,0,0,0,0,0,0,445,37,359,98,28,18,0,Never Accepted
11178,2014-03-23,Adult,42,Postgraduate,Single,Low,42394.0,69,1,1,0,3,7,0,0,0,0,0,0,0,15,2,10,0,1,4,1,Never Accepted
2230,2014-05-24,Adult,44,Postgraduate,Together,Lowest,23626.0,84,3,3,1,3,5,0,0,0,0,0,0,0,27,2,14,0,0,0,1,Never Accepted
7516,2014-05-22,Adult,31,Graduate,Together,Lowest,30096.0,30,1,2,0,3,6,0,0,0,0,0,0,0,5,3,11,12,5,9,1,Never Accepted
7247,2012-11-22,Adult,54,Graduate,Single,Low,47916.0,72,5,7,4,6,6,0,0,0,1,0,0,0,505,0,26,0,0,75,1,Accepted once or more
11100,2013-04-11,Adult,42,Graduate,Single,High,51813.0,37,2,2,0,3,7,0,0,0,0,0,0,0,51,2,7,0,1,2,2,Never Accepted
4646,2013-12-01,Adult,63,Postgraduate,Together,Highest,78497.0,44,1,5,7,12,2,1,0,0,0,0,0,0,207,26,447,75,0,223,0,Accepted once or more
3037,2013-06-20,Adult,31,Postgraduate,Together,Low,50150.0,32,2,5,2,7,5,0,0,0,0,0,0,0,135,46,92,65,61,11,0,Never Accepted
1473,2013-07-23,Adult,54,Postgraduate,Single,Low,47823.0,0,2,2,0,3,8,0,0,0,0,0,0,0,53,1,5,2,1,10,1,Never Accepted
1016,2014-03-30,Adult,55,Postgraduate,Single,Lowest,34554.0,43,2,2,0,3,6,0,0,0,0,0,0,0,41,1,6,2,0,5,1,Never Accepted
4518,2013-04-20,Adult,35,Graduate,Together,Highest,85693.0,59,2,9,5,11,5,0,0,0,0,0,0,0,386,172,183,185,132,111,1,Never Accepted
9370,2013-05-17,Elder,69,Postgraduate,Together,High,65846.0,68,1,6,3,6,4,0,0,0,0,0,0,0,562,81,276,80,40,81,0,Never Accepted
8908,2014-05-08,Adult,55,Graduate,Together,Highest,87195.0,35,1,3,11,5,1,0,0,0,0,0,0,1,217,76,690,50,26,38,0,Accepted once or more
8373,2013-12-10,Adult,35,Undergraduate,Together,Lowest,24594.0,94,1,1,0,3,5,0,0,0,0,0,0,0,1,3,6,10,0,9,1,Never Accepted
7533,2013-09-24,Adult,50,Graduate,Together,Low,49096.0,15,4,4,1,4,7,0,0,0,0,0,0,0,144,1,32,2,1,7,2,Never Accepted
2683,2013-02-02,Adult,45,Graduate,Together,High,52413.0,56,4,6,4,12,6,0,0,0,0,0,0,0,295,106,271,75,98,65,2,Never Accepted
3629,2012-12-19,Adult,36,Graduate,Single,Low,38557.0,17,2,3,1,3,7,0,0,0,0,0,0,0,76,3,31,4,4,27,1,Never Accepted
10991,2012-12-07,Adult,54,Postgraduate,Together,Highest,89058.0,18,1,5,4,4,2,0,0,0,0,0,0,0,454,194,106,31,22,43,0,Never Accepted
5077,2013-11-02,Adult,35,Graduate,Together,Highest,77298.0,46,1,6,6,11,3,0,0,0,0,0,0,0,425,115,292,23,35,79,1,Never Accepted
7431,2012-11-10,Adult,23,Postgraduate,Single,High,68126.0,40,1,7,4,5,9,0,0,0,1,0,0,1,1332,17,311,23,51,86,0,Accepted once or more
3267,2014-06-25,Adult,51,Postgraduate,Together,High,57288.0,27,3,8,1,8,6,0,0,0,1,0,0,0,527,0,21,0,0,60,1,Accepted once or more
999,2013-01-02,Adult,23,Graduate,Single,Highest,86037.0,95,1,6,7,11,3,0,0,0,1,1,0,1,490,44,125,29,20,22,0,Accepted once or more
9215,2012-12-12,Adult,34,Postgraduate,Together,Low,43974.0,19,5,6,4,6,7,0,0,0,0,0,0,0,378,0,101,0,0,72,1,Never Accepted
2286,2013-09-10,Adult,52,Graduate,Single,Low,50785.0,27,2,2,1,3,6,0,0,0,0,0,0,0,64,1,21,0,1,27,2,Never Accepted
1592,2014-01-24,Adult,44,Graduate,Together,Highest,90765.0,25,0,4,6,5,1,1,0,0,0,1,0,0,547,99,812,151,82,33,0,Accepted once or more
367,2013-02-19,Adult,36,Postgraduate,Together,Low,36550.0,74,5,9,1,5,9,0,0,0,0,0,0,0,47,90,94,123,103,120,1,Never Accepted
5234,2013-07-11,Adult,47,Postgraduate,Together,Lowest,30753.0,85,2,1,1,3,5,0,0,0,0,0,0,0,12,5,25,0,9,30,2,Never Accepted
9862,2013-11-14,Adult,45,Graduate,Together,Lowest,21918.0,37,2,2,0,3,6,0,0,0,0,0,0,0,1,6,7,11,5,3,1,Never Accepted
9805,2013-06-20,Adult,61,Postgraduate,Together,High,56129.0,65,4,6,2,10,4,0,0,0,0,0,0,0,320,48,133,39,72,48,1,Never Accepted
6205,2014-02-24,Adult,47,Postgraduate,Single,Lowest,32557.0,13,3,2,1,3,5,0,0,0,0,0,0,1,34,3,29,0,4,10,1,Accepted once or more
8442,2013-09-04,Adult,29,Postgraduate,Together,Lowest,19510.0,63,2,1,0,3,7,0,0,0,0,0,0,0,9,0,7,3,4,7,2,Never Accepted
7386,2013-04-22,Adult,38,Graduate,Single,Lowest,30992.0,83,1,1,0,3,7,0,0,0,0,0,0,0,17,0,14,7,3,2,1,Never Accepted
1491,2013-02-18,Adult,49,Postgraduate,Together,Highest,71488.0,87,2,3,4,7,1,0,0,0,0,0,0,0,162,33,124,40,28,172,0,Never Accepted
11071,2013-04-21,Adult,30,Graduate,Single,Highest,79607.0,37,1,3,6,6,1,0,0,0,0,0,0,1,450,133,951,173,0,216,0,Accepted once or more
3381,2014-06-08,Adult,61,Postgraduate,Together,High,54348.0,51,2,2,0,4,6,0,0,0,0,0,0,0,70,0,16,0,0,4,2,Never Accepted
8268,2013-07-11,Adult,53,Postgraduate,Together,High,57091.0,23,3,6,1,7,6,0,0,0,0,0,0,0,352,0,27,10,0,15,1,Never Accepted
11051,2014-05-10,Adult,58,Postgraduate,Together,Highest,77376.0,72,4,6,3,10,4,0,0,0,0,0,0,0,492,19,110,16,12,12,2,Never Accepted
8026,2013-09-30,Adult,62,Graduate,Together,High,62998.0,10,5,5,4,5,5,0,0,0,0,0,0,0,120,58,73,65,89,58,1,Never Accepted
433,2013-03-10,Adult,56,Postgraduate,Single,High,61331.0,42,5,11,1,6,8,0,0,0,0,0,0,0,534,5,47,0,5,41,2,Never Accepted
9597,2014-02-10,Adult,45,Graduate,Together,Highest,73448.0,10,1,7,2,9,4,0,0,0,0,0,0,0,236,106,189,23,41,130,0,Never Accepted
1295,2013-08-11,Adult,51,Graduate,Together,Low,50737.0,96,1,6,5,7,4,0,0,0,0,0,0,0,231,65,196,38,71,124,1,Never Accepted
5290,2013-08-14,Adult,50,Postgraduate,Together,Low,41551.0,51,5,5,1,5,8,0,0,0,0,0,0,0,220,0,33,3,0,23,2,Never Accepted
1685,2013-03-17,Adult,47,Postgraduate,Together,High,62981.0,21,1,4,5,13,3,0,0,0,1,0,0,0,796,14,590,38,44,0,0,Accepted once or more
5342,2012-08-08,Adult,38,Undergraduate,Single,Lowest,9548.0,31,2,1,0,3,8,0,0,0,0,0,0,0,0,1,3,10,6,9,1,Never Accepted
9579,2013-07-07,Adult,55,Postgraduate,Together,Lowest,33762.0,61,3,2,2,2,8,0,0,0,0,0,0,0,53,1,34,2,0,16,3,Never Accepted
7660,2014-05-19,Adult,41,Postgraduate,Single,Low,35860.0,37,2,1,1,2,5,0,0,1,0,0,0,1,15,0,8,4,2,20,2,Accepted once or more
1461,2013-07-28,Adult,49,Postgraduate,Single,Low,36921.0,74,2,2,0,3,7,0,0,0,0,0,0,0,17,1,12,3,1,4,2,Never Accepted
821,2012-10-19,Adult,22,Postgraduate,Single,Highest,92859.0,46,1,5,4,12,2,0,0,0,0,0,0,0,962,61,921,52,61,20,0,Never Accepted
11084,2013-11-14,Adult,38,Postgraduate,Together,High,65104.0,4,2,3,5,7,7,0,0,0,0,0,0,1,738,0,232,13,20,50,1,Accepted once or more
8690,2013-04-19,Adult,52,Graduate,Together,Highest,86111.0,73,1,5,7,10,2,0,0,0,0,0,0,0,399,28,756,36,40,126,0,Never Accepted
2937,2013-08-28,Adult,40,Postgraduate,Single,Highest,68352.0,47,3,8,5,9,6,0,0,0,0,0,0,0,614,16,132,43,33,33,1,Never Accepted
9701,2013-03-19,Adult,26,Graduate,Together,Low,41883.0,13,3,4,2,3,7,0,0,0,0,0,0,0,32,34,41,73,16,116,1,Never Accepted
9949,2012-10-18,Adult,38,Graduate,Together,High,59809.0,36,3,3,3,6,8,0,0,0,0,0,0,0,598,16,141,32,41,49,2,Never Accepted
10837,2012-10-28,Adult,39,Graduate,Together,Lowest,23957.0,47,1,2,0,3,6,0,0,0,0,0,0,1,2,1,18,20,11,16,1,Accepted once or more
3120,2013-08-28,Adult,33,Graduate,Together,Low,38547.0,49,1,1,0,2,8,0,0,0,0,0,1,0,6,1,10,0,1,4,1,Never Accepted
5885,2012-08-22,Adult,41,Postgraduate,Together,Low,35688.0,94,7,4,1,4,8,0,0,0,0,0,0,0,73,3,90,12,1,32,3,Never Accepted
4050,2014-06-21,Adult,48,Postgraduate,Together,Low,49605.0,65,1,2,1,4,3,0,0,0,0,0,0,0,42,16,29,12,20,8,0,Never Accepted
3830,2014-04-24,Adult,61,Postgraduate,Together,High,59354.0,59,1,4,4,7,3,0,0,0,0,0,0,0,295,21,78,39,13,13,2,Never Accepted
7987,2014-03-07,Adult,45,Graduate,Together,High,65747.0,96,4,8,1,6,6,0,0,0,1,0,0,0,346,17,48,23,13,13,1,Accepted once or more
7798,2012-12-14,Adult,42,Postgraduate,Together,Low,46344.0,28,4,7,1,5,7,0,0,0,0,0,0,0,233,20,57,8,20,91,1,Never Accepted
92,2014-05-12,Adult,26,Graduate,Single,Lowest,34176.0,12,4,3,0,4,6,0,0,0,0,0,0,0,5,7,24,19,14,20,1,Never Accepted
7055,2012-10-09,Adult,62,Postgraduate,Together,High,61010.0,57,2,8,5,11,5,0,0,0,0,0,0,0,888,0,57,0,0,76,1,Never Accepted
10240,2013-02-19,Elder,65,Graduate,Together,Highest,69372.0,10,1,10,4,6,4,0,0,0,1,1,0,1,997,26,269,34,13,42,0,Accepted once or more
3025,2013-07-08,Adult,56,Graduate,Single,Low,49967.0,4,3,6,1,5,7,0,0,0,0,0,0,0,212,6,69,4,12,3,1,Never Accepted
9283,2013-09-12,Adult,36,Graduate,Single,High,60199.0,49,1,0,0,3,4,0,0,0,0,0,0,0,8,1,7,2,0,0,3,Never Accepted
9970,2013-10-17,Adult,37,Graduate,Together,High,55375.0,3,1,1,1,6,2,0,0,0,0,0,0,0,42,11,57,10,28,14,1,Never Accepted
2730,2013-08-20,Adult,59,Graduate,Single,Highest,80317.0,64,1,3,4,10,1,0,0,0,0,0,0,0,536,11,387,149,91,57,0,Never Accepted
2795,2013-07-01,Adult,56,Postgraduate,Single,Lowest,30523.0,0,1,1,0,2,7,0,0,0,0,0,0,0,5,0,3,0,0,5,3,Never Accepted
9260,2012-11-05,Elder,69,Postgraduate,Together,Highest,70356.0,20,2,10,6,9,6,0,0,0,0,0,0,0,1349,16,249,43,16,33,0,Never Accepted
8182,2014-01-05,Adult,30,Graduate,Together,Lowest,23228.0,91,4,3,0,4,8,0,0,0,0,0,0,0,53,3,49,7,4,5,1,Never Accepted
10095,2013-05-01,Adult,39,Postgraduate,Single,Highest,74165.0,9,1,5,4,10,2,0,0,0,0,0,0,0,1001,12,240,16,12,12,0,Never Accepted
4370,2013-11-13,Adult,48,Graduate,Together,Low,43482.0,83,3,2,0,4,6,0,0,0,0,0,0,0,18,1,32,6,3,28,3,Never Accepted
10573,2013-11-18,Adult,61,Graduate,Single,High,62551.0,27,1,6,7,4,3,0,0,1,0,0,0,0,125,16,98,134,21,27,0,Accepted once or more
3712,2013-08-28,Adult,55,Graduate,Single,High,52332.0,63,1,3,2,6,4,0,0,0,1,0,0,0,212,5,33,7,0,2,0,Accepted once or more
6637,2013-11-02,Adult,26,Graduate,Single,High,66951.0,46,1,3,4,7,1,0,0,0,0,0,0,0,277,162,305,173,76,124,0,Never Accepted
3152,2014-02-25,Adult,57,Graduate,Together,Lowest,26091.0,84,3,2,1,3,5,0,0,0,0,0,0,0,15,10,19,8,17,20,2,Never Accepted
5610,2014-04-21,Adult,49,Graduate,Together,Lowest,33456.0,58,2,1,0,3,7,0,0,0,0,0,0,0,7,3,10,8,1,7,2,Never Accepted
6460,2013-07-13,Adult,32,Graduate,Together,Lowest,28718.0,78,2,2,0,3,8,0,0,0,0,0,0,0,12,4,6,11,8,16,1,Never Accepted
1349,2014-04-21,Adult,44,Graduate,Together,Low,50447.0,4,1,3,1,3,6,0,0,0,0,0,0,0,85,7,24,2,3,27,2,Never Accepted
1880,2014-01-30,Adult,55,Postgraduate,Together,High,53537.0,17,2,2,1,3,5,0,0,0,0,0,0,0,81,0,6,0,0,6,2,Never Accepted
641,2014-04-04,Adult,47,Graduate,Single,High,52074.0,77,1,2,2,2,4,0,0,1,0,0,0,0,59,0,12,0,0,48,1,Accepted once or more
8717,2012-09-12,Adult,39,Postgraduate,Together,Highest,80427.0,56,1,11,8,8,5,0,0,0,0,0,0,0,1149,71,449,69,71,26,1,Never Accepted
10314,2012-12-16,Elder,66,Postgraduate,Together,Highest,83837.0,79,1,9,10,5,4,1,0,0,1,0,0,1,847,66,119,86,89,111,0,Accepted once or more
